Pegel,Gewässer,Latitude,Longitude
CELLE,ALLER,52.622706,10.062164
MARKLENDORF,ALLER,52.682757,9.703456
AHLDEN,ALLER,52.762431,9.570881
RETHEM,ALLER,52.789098,9.382841
EITZE,ALLER,52.904065,9.276769
DORDRECHT,ALTE_MAAS,,
BERLIN-PLÖTZENSEE OP,BSK,52.5437,13.323142
BERLIN-PLÖTZENSEE UP,BSK,52.543036,13.323859
KONSTANZ,BODENSEE,47.66075,9.181039
ABBENFLETH SPERRWERK,BSE,53.668963,9.494307
BERLIN-SCHMÖCKWITZ,DAW,52.374398,13.653581
NEUE MÜHLE SCHLEUSE UP,DAW,52.297475,13.649641
NEUE MÜHLE SCHLEUSE OP,DAW,52.296816,13.651758
WALTROP,DHK,51.639741,7.380201
HAMM UW,DHK,51.684812,7.815789
HAMM OW,DHK,51.693782,7.842759
WERRIES OW,DHK,51.695153,7.870046
HELMINGHAUSEN,DIEMEL,51.381475,8.73078
DIEMELTALSPERRE,DIEMEL,51.377695,8.728648
WILHELMSBRÜCKE,DIEMEL,51.346315,8.723953
THEBNERSTRASSL,DONAU,,
WILDUNGSMAUER,DONAU,,
KORNEUBURG,DONAU,,
DÜRNSTEIN,DONAU,,
KIENSTOCK,DONAU,,
GREIN,DONAU,,
MAUTHAUSEN,DONAU,,
WILHERING,DONAU,,
ERLAU,DONAU,48.567382,13.586813
ACHLEITEN,DONAU,48.582047,13.503185
PASSAU ILZSTADT,DONAU,48.575198,13.478017
PASSAU LUITPOLDBRÜCKE DFH,DONAU,48.575835,13.472833
PASSAU DONAU,DONAU,48.576133,13.459076
KACHLET SCHLEUSE UP,DONAU,48.578228,13.41269
PASSAU STEINBACHBRÜCKE DFH,DONAU,48.57567,13.475462
KACHLET WEHR UP,DONAU,,
VILSHOFEN,DONAU,48.637297,13.182429
HOFKIRCHEN,DONAU,48.676675,13.115154
DEGGENDORF,DONAU,48.824944,12.96235
PFELLING,DONAU,48.879766,12.747217
PFATTER,DONAU,48.980436,12.383772
SCHWABELWEIS,DONAU,49.023583,12.138693
REGENSBURG EISERNE BRÜCKE,DONAU,49.021359,12.101827
OBERNDORF,DONAU,48.946969,12.014893
KELHEIMWINZER,DONAU,48.911858,11.93206
KELHEIM DONAU,DONAU,48.916603,11.864627
INGOLSTADT LUITPOLDSTRASSE,DONAU,48.757414,11.426054
HENRICHENBURG OW,DEK,51.616047,7.339002
HENRICHENBURG UW,DEK,51.621118,7.329425
LÜDINGHAUSEN,DEK,51.798113,7.401947
MÜNSTER OW,DEK,51.968942,7.664374
MÜNSTER UW,DEK,51.987125,7.660129
BERGESHÖVEDE,DEK,52.275853,7.604958
HASEHUBBRÜCKE,DEK,52.694191,7.292912
VERSEN TRENNSPITZE,DEK,52.731187,7.260856
HERBRUM HAFENDAMM,DEK,53.041915,7.317135
RHEDE,DEK,53.072418,7.286979
GW-PWDRFP 02,DYHRMOOR,53.957237,9.262889
GW-PWDRFP 01,DYHRMOOR,53.959406,9.260387
GW-PWDRFP 08,DYHRMOOR,53.962119,9.265026
GW-PWDRFP 03,DYHRMOOR,53.960813,9.268645
GW-PWDRFP 09,DYHRMOOR,53.964196,9.267517
GW-PWDRFP 04,DYHRMOOR,53.962782,9.2768
GW-PWDRFP 06,DYHRMOOR,53.968641,9.272183
GW-PWDRFP 05,DYHRMOOR,53.967944,9.275974
GW-PWDRFP 07,DYHRMOOR,53.973118,9.275959
AFFOLDERN,EDER,51.164141,9.084726
EDERTALSPERRE,EDER,51.18404,9.058928
SCHMITTLOTHEIM,EDER,51.155726,8.897958
LEXFÄHRE OBERWASSER,EIDER,54.222472,9.436143
LEXFÄHRE UNTERWASSER,EIDER,54.223219,9.435676
NORDFELD OBERWASSER,EIDER,54.338733,9.139643
NORDFELD UNTERWASSER,EIDER,54.339462,9.138247
FRIEDRICHSTADT STRASSENBRÜCKE,EIDER,54.368469,9.094603
TÖNNING,EIDER,54.314683,8.950149
EIDER-SPERRWERK BP,EIDER,54.265866,8.849594
PRELOUC,ELBE,,
WITTENBERGGÜTE,ELBE,,
SCHÖNA,ELBE,50.875762,14.235229
PIRNA,ELBE,50.964585,13.929755
DRESDEN,ELBE,51.05446,13.738832
MEISSEN,ELBE,51.164406,13.475468
RIESA,ELBE,51.311482,13.293341
MÜHLBERG,ELBE,51.43735,13.191762
TORGAU,ELBE,51.553685,13.010131
PRETZSCH-MAUKEN,ELBE,51.716993,12.823297
ELSTER,ELBE,51.826851,12.827257
WITTENBERG,ELBE,51.856529,12.646311
COSWIG,ELBE,51.876941,12.454012
VOCKERODE,ELBE,51.851333,12.355387
ROSSLAU,ELBE,51.881407,12.236541
DESSAU,ELBE,51.856888,12.223277
AKEN,ELBE,51.857867,12.058859
BARBY,ELBE,51.984834,11.882246
SCHÖNEBECK,ELBE,52.024534,11.738802
MAGDEBURG-BUCKAU,ELBE,52.119271,11.634986
MAGDEBURG-STROMBRÜCKE,ELBE,52.129698,11.644334
ROTHENSEE,ELBE,52.180953,11.682653
NIEGRIPP AP,ELBE,52.249748,11.737554
ROGÄTZ,ELBE,52.313845,11.768834
TANGERMÜNDE,ELBE,52.541306,11.978056
STORKAU,ELBE,52.610405,12.002483
SANDAU,ELBE,52.78477,12.031305
SCHARLEUK,ELBE,52.956969,11.837558
WITTENBERGE,ELBE,52.985529,11.759443
MÜGGENDORF,ELBE,53.007901,11.656213
SCHNACKENBURG,ELBE,53.038251,11.569162
LENZEN,ELBE,53.079993,11.455946
GORLEBEN,ELBE,53.050282,11.349503
DÖMITZ,ELBE,53.140333,11.242912
DAMNATZ,ELBE,53.137769,11.179445
HITZACKER,ELBE,53.154626,11.045488
NEU DARCHAU,ELBE,53.232258,10.888819
BLECKEDE,ELBE,53.295083,10.735002
BOIZENBURG,ELBE,53.375469,10.717767
HOHNSTORF,ELBE,53.366264,10.558836
ARTLENBURG,ELBE,53.376174,10.489216
GEESTHACHT,ELBE,53.426505,10.374522
WEHR GEESTHACHT UP,ELBE,53.423294,10.334765
ALTENGAMME,ELBE,53.430844,10.29679
ZOLLENSPIEKER,ELBE,53.398709,10.185374
OVER,ELBE,53.428692,10.10112
BUNTHAUS,ELBE,53.461414,10.064018
HAMBURG-HARBURG,ELBE,53.472726,9.991826
SCHÖPFSTELLE,ELBE,53.508392,10.061595
HAMBURG ST. PAULI,ELBE,53.545442,9.969965
SEEMANNSHÖFT,ELBE,53.540164,9.880859
CRANZ,ELBE,53.535944,9.791537
BLANKENESE UF,ELBE,53.555577,9.807108
SCHULAU,ELBE,53.567911,9.702887
HAHNÖFER SAND WEST SIEL,ELBE,53.548238,9.69049
LÜHORT,ELBE,53.571575,9.633362
HETLINGEN,ELBE,53.609411,9.584318
TWIELENFLETH SIEL,ELBE,53.598754,9.567137
STADERSAND,ELBE,53.629729,9.526602
PINNAU-SPERRWERK AP,ELBE,53.671389,9.558228
GRAUERORT REEDE,ELBE,53.67915,9.494796
KRÜCKAU-SPERRWERK AP,ELBE,53.716141,9.526337
KOLLMAR,ELBE,53.731123,9.459762
KRAUTSAND REEDE,ELBE,53.754705,9.391187
GLÜCKSTADT,ELBE,53.784361,9.40943
STÖR-SPERRWERK AP,ELBE,53.825946,9.400981
BROKDORF,ELBE,53.862704,9.31603
SCHÖNEWORTH SIEL,ELBE,53.846897,9.288201
BRUNSBÜTTEL MPM,ELBE,53.887807,9.148745
OSTERIFF MPM,ELBE,53.856369,9.031629
OTTERNDORF MPM,ELBE,53.83537,8.870724
CUXHAVEN STEUBENHÖFT,ELBE,53.867686,8.717425
DETERSHAGEN,EHK,52.251374,11.762555
BURG,EHK,52.276738,11.832027
ZERBEN OP,EHK,52.339613,11.957395
ZERBEN UP,EHK,52.35068,11.969785
GENTHIN,EHK,52.410857,12.140022
Schlagenthiner Stremme,EHK,,
Roßdorf,EHK,,
KADE,EHK,52.397049,12.279351
WUSTERWITZ OP,EHK,52.394272,12.356119
WUSTERWITZ UP,EHK,52.392835,12.370474
BÜSSAU UP,ELK,53.817549,10.625385
